"USGS_id","reach_id"
"01199000",73130000151
"01205500",73130000061
"01184000",73120000121
"011230695",73119000051
"01127000",73119000021
"02376033",73270600031
"02375500",73270600071
"02366500",73270200031
"02365200",73270200111
"02365500",73270200091
"02358754",73260300031
"02358700",73260300101
"02358000",73260300141
"02330150",73259000051
"02330000",73259000071
"02319800",73258000131
"02319500",73258000191
"02320000",73258000111
"02323592",73258000011
"02323500",73258000041
"02320500",73258000081
"02323000",73258000061
"02236125",73256000111
"02236000",73256000141
"02234500",73256000171
"02234000",73256000231
"02232400",73256000301
"02232000",73256000331
"02339500",73260900391
"02388500",73288000011
"02395980",73289000011
"02343801",73260500151
"02338500",73260901631
"02342881",73260700011
"02341460",73260900061
"02395000",73289000061
"02387500",73288000061
"02338000",73260901091
"02394670",73289000121
"02337170",73260901101
"02356000",73260400071
"02355662",73260400101
"02336490",73260901121
"02336000",73260901131
"02335880",73260901131
"02353000",73260400131
"02347500",73260400461
"02349605",73260400401
"02212735",73254700401
"02213000",73254700391
"02215000",73254700311
"02218300",73254400341
"02215260",73254700281
"02223000",73254400141
"02223056",73254400121
"02223248",73254400101
"02223500",73254400081
"02215500",73254500021
"02224500",73254400041
"02224940",73254300151
"02225000",73254300131
"02228000",73255000151
"02226000",73254100061
"021973269",73252000171
"02197500",73252000141
"02198500",73252000081
"12395500",78266100221
"13213100",78293000031
"13269000",78291000341
"12419000",78264000191
"13251000",78291000371
"13342500",78270600021
"12417650",78264000191
"12322000",78268500111
"12322001",78268500111
"13341050",78270600051
"13172500",78297000061
"13172454",78297000061
"13317000",78280100061
"13340000",78270600061
"13247500",78291000541
"13171620",78297000121
"13337000",78270600241
"13336500",78270600131
"13154500",78299100081
"13135000",78299100131
"13094000",78299500281
"13090500",78299500221
"13090000",78299500311
"13302500",78280500031
"13081500",78299500131
"13069500",78299500031
"13062500",78299700041
"13060000",78299700101
"13057155",78299700161
"13056500",78299800011
"13038500",78299900011
"13050500",78299800081
"13037500",78299900031
"13046000",78299800161
"13042500",78299800271
"13047600",78299800401
"13047500",78299800441
"13032500",78299900081
"05586100",74282100101
"05587450",74281000041
"05446500",74287200041
"05595000",74270600071
"07020500",74270500051
